Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.9608530000000001,0.959425,0.0,0.9601379999999999,9407,13088,3019196203,,0.000000,825294,.,.,527814.000000,297480.000000,,1.7742839854780152,792986,.,.,503240.000000,289746.000000,,1.7368315697196854,32308,.,.,24574.000000,7734.000000,,3.177398500129299,809116,.,.,491335.000000,299495.000000,,1.640544917277417,776286,.,.,469865.000000,289738.000000,,1.6216892502881914,32830,.,.,21470.000000,9757.000000,,2.200471456390284,0,.,.,0.000000,0.000000,,,0.9604326910489431,0.9612695536191066,0.9589932984799816,0.9598531222761935,0.0,4.559137435244942e-06
INDEL,*,*,PASS,*,QUAL,*,0.9608530000000001,0.959425,0.0,0.9601379999999999,9407,13088,3019196203,,0.000000,825294,.,.,527814.000000,297480.000000,,1.7742839854780152,792986,.,.,503240.000000,289746.000000,,1.7368315697196854,32308,.,.,24574.000000,7734.000000,,3.177398500129299,809116,.,.,491335.000000,299495.000000,,1.640544917277417,776286,.,.,469865.000000,289738.000000,,1.6216892502881914,32830,.,.,21470.000000,9757.000000,,2.200471456390284,0,.,.,0.000000,0.000000,,,0.9604326910489431,0.9612695536191066,0.9589932984799816,0.9598531222761935,0.0,4.559137435244942e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.5,0.0,0.0,0.0,0,0,3019196203,,0.000000,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,1.0,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.5,0.0,0.0,0.0,0,0,3019196203,,0.000000,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,1.0,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.137097,0.0,0.0,0.0,0,0,3019196203,,0.000000,124,.,.,124.000000,0.000000,,,17,.,.,17.000000,0.000000,,,107,.,.,107.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.08513998025711661,0.20574763929753914,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.137097,0.0,0.0,0.0,0,0,3019196203,,0.000000,124,.,.,124.000000,0.000000,,,17,.,.,17.000000,0.000000,,,107,.,.,107.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.08513998025711661,0.20574763929753914,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.153846,0.0,0.0,0.0,0,0,3019196203,,0.000000,26,.,.,26.000000,0.000000,,,4,.,.,4.000000,0.000000,,,22,.,.,22.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.05424623583918982,0.3254368673882434,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.153846,0.0,0.0,0.0,0,0,3019196203,,0.000000,26,.,.,26.000000,0.000000,,,4,.,.,4.000000,0.000000,,,22,.,.,22.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.05424623583918982,0.3254368673882434,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.916062,0.891332,0.0,0.9035280000000001,286,869,3019196203,,0.000000,15845,.,.,10818.000000,5027.000000,,2.1519793117167296,14515,.,.,9952.000000,4563.000000,,2.1810212579443347,1330,.,.,866.000000,464.000000,,1.8663793103448276,16279,.,.,11176.000000,5103.000000,,2.190084264158338,14510,.,.,9943.000000,4567.000000,,2.1771403547186337,1769,.,.,1233.000000,536.000000,,2.300373134328358,0,.,.,0.000000,0.000000,,,0.9116681746833923,0.9203035444399872,0.8864820380742404,0.8960436081564112,0.0,0.00022657789354763036
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.916062,0.891332,0.0,0.9035280000000001,286,869,3019196203,,0.000000,15845,.,.,10818.000000,5027.000000,,2.1519793117167296,14515,.,.,9952.000000,4563.000000,,2.1810212579443347,1330,.,.,866.000000,464.000000,,1.8663793103448276,16279,.,.,11176.000000,5103.000000,,2.190084264158338,14510,.,.,9943.000000,4567.000000,,2.1771403547186337,1769,.,.,1233.000000,536.000000,,2.300373134328358,0,.,.,0.000000,0.000000,,,0.9116681746833923,0.9203035444399872,0.8864820380742404,0.8960436081564112,0.0,0.00022657789354763036
