Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.9614309999999999,0.9502379999999999,0.0,0.955802,10228,15649,3019196203,,0.000000,816752,.,.,517770.000000,298982.000000,,1.731776494906048,785251,.,.,495828.000000,289423.000000,,1.7131603224346372,31501,.,.,21942.000000,9559.000000,,2.295428392091223,809116,.,.,491335.000000,299495.000000,,1.640544917277417,768853,.,.,463101.000000,289379.000000,,1.6003269069282844,40263,.,.,28234.000000,10116.000000,,2.791024120205615,0,.,.,0.000000,0.000000,,,0.9610121225292065,0.9618473610860453,0.9497628606470108,0.9507104877395918,0.0,4.559137435244942e-06
INDEL,*,*,PASS,*,QUAL,*,0.9614309999999999,0.9502379999999999,0.0,0.955802,10228,15649,3019196203,,0.000000,816752,.,.,517770.000000,298982.000000,,1.731776494906048,785251,.,.,495828.000000,289423.000000,,1.7131603224346372,31501,.,.,21942.000000,9559.000000,,2.295428392091223,809116,.,.,491335.000000,299495.000000,,1.640544917277417,768853,.,.,463101.000000,289379.000000,,1.6003269069282844,40263,.,.,28234.000000,10116.000000,,2.791024120205615,0,.,.,0.000000,0.000000,,,0.9610121225292065,0.9618473610860453,0.9497628606470108,0.9507104877395918,0.0,4.559137435244942e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3019196203,,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,1.0,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3019196203,,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,1.0,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.25,0.0,0.0,0.0,0,0,3019196203,,0.000000,192,.,.,192.000000,0.000000,,,48,.,.,48.000000,0.000000,,,144,.,.,144.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.19280201927578863,0.31466968845196897,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.25,0.0,0.0,0.0,0,0,3019196203,,0.000000,192,.,.,192.000000,0.000000,,,48,.,.,48.000000,0.000000,,,144,.,.,144.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.19280201927578863,0.31466968845196897,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.2,0.0,0.0,0.0,0,0,3019196203,,0.000000,10,.,.,10.000000,0.000000,,,2,.,.,2.000000,0.000000,,,8,.,.,8.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.044059413552630794,0.502774496439993,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.2,0.0,0.0,0.0,0,0,3019196203,,0.000000,10,.,.,10.000000,0.000000,,,2,.,.,2.000000,0.000000,,,8,.,.,8.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.044059413552630794,0.502774496439993,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.918783,0.888814,0.0,0.90355,298,909,3019196203,,0.000000,15748,.,.,10742.000000,5006.000000,,2.1458250099880143,14469,.,.,9920.000000,4549.000000,,2.180699054737305,1279,.,.,822.000000,457.000000,,1.798687089715536,16279,.,.,11176.000000,5103.000000,,2.190084264158338,14469,.,.,9918.000000,4551.000000,,2.1793012524719844,1810,.,.,1258.000000,552.000000,,2.278985507246377,0,.,.,0.000000,0.000000,,,0.9144398656685677,0.9229728942176139,0.8839156658377143,0.8935737113374499,0.0,0.00022657789354763036
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.918783,0.888814,0.0,0.90355,298,909,3019196203,,0.000000,15748,.,.,10742.000000,5006.000000,,2.1458250099880143,14469,.,.,9920.000000,4549.000000,,2.180699054737305,1279,.,.,822.000000,457.000000,,1.798687089715536,16279,.,.,11176.000000,5103.000000,,2.190084264158338,14469,.,.,9918.000000,4551.000000,,2.1793012524719844,1810,.,.,1258.000000,552.000000,,2.278985507246377,0,.,.,0.000000,0.000000,,,0.9144398656685677,0.9229728942176139,0.8839156658377143,0.8935737113374499,0.0,0.00022657789354763036
