Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.959832,0.951218,0.0,0.955506,10651,15558,3019196203,,0.000000,818981,.,.,521955.000000,297026.000000,,1.757270407304411,786084,.,.,497661.000000,288423.000000,,1.725455320830863,32897,.,.,24294.000000,8603.000000,,2.823898640009299,809116,.,.,491335.000000,299495.000000,,1.640544917277417,769646,.,.,464848.000000,288380.000000,,1.6119287051806643,39470,.,.,26487.000000,11115.000000,,2.382995951417004,0,.,.,0.000000,0.000000,,,0.9594049091570391,0.9602554226710385,0.9507473864040246,0.9516861189029235,0.0,4.559137435244942e-06
INDEL,*,*,PASS,*,QUAL,*,0.959832,0.951218,0.0,0.955506,10651,15558,3019196203,,0.000000,818981,.,.,521955.000000,297026.000000,,1.757270407304411,786084,.,.,497661.000000,288423.000000,,1.725455320830863,32897,.,.,24294.000000,8603.000000,,2.823898640009299,809116,.,.,491335.000000,299495.000000,,1.640544917277417,769646,.,.,464848.000000,288380.000000,,1.6119287051806643,39470,.,.,26487.000000,11115.000000,,2.382995951417004,0,.,.,0.000000,0.000000,,,0.9594049091570391,0.9602554226710385,0.9507473864040246,0.9516861189029235,0.0,4.559137435244942e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3019196203,,0.000000,4,.,.,4.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4,.,.,4.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.6023646356164747,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3019196203,,0.000000,4,.,.,4.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4,.,.,4.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.6023646356164747,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.180124,0.0,0.0,0.0,0,0,3019196203,,0.000000,161,.,.,161.000000,0.000000,,,29,.,.,29.000000,0.000000,,,132,.,.,132.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.12673054534055198,0.24489483238146625,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.180124,0.0,0.0,0.0,0,0,3019196203,,0.000000,161,.,.,161.000000,0.000000,,,29,.,.,29.000000,0.000000,,,132,.,.,132.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.12673054534055198,0.24489483238146625,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.25,0.0,0.0,0.0,0,0,3019196203,,0.000000,16,.,.,16.000000,0.000000,,,4,.,.,4.000000,0.000000,,,12,.,.,12.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.09082819503427622,0.49072898872646076,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.25,0.0,0.0,0.0,0,0,3019196203,,0.000000,16,.,.,16.000000,0.000000,,,4,.,.,4.000000,0.000000,,,12,.,.,12.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.09082819503427622,0.49072898872646076,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.917948,0.880091,0.0,0.8986209999999999,327,947,3019196203,,0.000000,15612,.,.,10620.000000,4992.000000,,2.1274038461538463,14331,.,.,9826.000000,4505.000000,,2.181132075471698,1281,.,.,794.000000,487.000000,,1.6303901437371664,16279,.,.,11176.000000,5103.000000,,2.190084264158338,14327,.,.,9818.000000,4509.000000,,2.17742293191395,1952,.,.,1358.000000,594.000000,,2.2861952861952863,0,.,.,0.000000,0.000000,,,0.9135651787649888,0.9221753401240717,0.8750331732771448,0.8850135159844528,0.0,0.00022657789354763036
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.917948,0.880091,0.0,0.8986209999999999,327,947,3019196203,,0.000000,15612,.,.,10620.000000,4992.000000,,2.1274038461538463,14331,.,.,9826.000000,4505.000000,,2.181132075471698,1281,.,.,794.000000,487.000000,,1.6303901437371664,16279,.,.,11176.000000,5103.000000,,2.190084264158338,14327,.,.,9818.000000,4509.000000,,2.17742293191395,1952,.,.,1358.000000,594.000000,,2.2861952861952863,0,.,.,0.000000,0.000000,,,0.9135651787649888,0.9221753401240717,0.8750331732771448,0.8850135159844528,0.0,0.00022657789354763036
INDEL,D1_5,*,ALL,*,QUAL,*,0.9674590000000001,0.959292,0.0,0.963358,3791,5557,3019196203,,0.000000,357400,.,.,224862.000000,132538.000000,,1.696585130302253,345770,.,.,216256.000000,129514.000000,,1.6697499884182405,11630,.,.,8606.000000,3024.000000,,2.8458994708994707,360442,.,.,226800.000000,133642.000000,,1.6970712799868304,345769,.,.,216275.000000,129494.000000,,1.6701546017576103,14673,.,.,10525.000000,4148.000000,,2.537367405978785,0,.,.,0.000000,0.000000,,,0.9668739373266341,0.9680373499732463,0.958642824963594,0.9599330939315083,0.0,1.0234269529063589e-05
