Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.9609690000000001,0.9574879999999999,0.0,0.959225,9613,13570,3019196203,,0.000000,823600,.,.,524901.000000,298699.000000,,1.7572907843682102,791454,.,.,501390.000000,290064.000000,,1.728549561476088,32146,.,.,23511.000000,8635.000000,,2.7227562246670525,809116,.,.,491335.000000,299495.000000,,1.640544917277417,774719,.,.,467955.000000,290052.000000,,1.61334864093335,34397,.,.,23380.000000,9443.000000,,2.475908080059303,0,.,.,0.000000,0.000000,,,0.9605490323308421,0.9613855616936846,0.9570469279450395,0.9579261436380747,0.0,4.559137435244942e-06
INDEL,*,*,PASS,*,QUAL,*,0.9609690000000001,0.9574879999999999,0.0,0.959225,9613,13570,3019196203,,0.000000,823600,.,.,524901.000000,298699.000000,,1.7572907843682102,791454,.,.,501390.000000,290064.000000,,1.728549561476088,32146,.,.,23511.000000,8635.000000,,2.7227562246670525,809116,.,.,491335.000000,299495.000000,,1.640544917277417,774719,.,.,467955.000000,290052.000000,,1.61334864093335,34397,.,.,23380.000000,9443.000000,,2.475908080059303,0,.,.,0.000000,0.000000,,,0.9605490323308421,0.9613855616936846,0.9570469279450395,0.9579261436380747,0.0,4.559137435244942e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.5,0.0,0.0,0.0,0,0,3019196203,,0.000000,4,.,.,4.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.12275388276951776,0.8772461172304822,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.5,0.0,0.0,0.0,0,0,3019196203,,0.000000,4,.,.,4.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.12275388276951776,0.8772461172304822,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.183099,0.0,0.0,0.0,0,0,3019196203,,0.000000,142,.,.,142.000000,0.000000,,,26,.,.,26.000000,0.000000,,,116,.,.,116.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.12621193233543948,0.2527463826685542,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.183099,0.0,0.0,0.0,0,0,3019196203,,0.000000,142,.,.,142.000000,0.000000,,,26,.,.,26.000000,0.000000,,,116,.,.,116.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.12621193233543948,0.2527463826685542,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.083333,0.0,0.0,0.0,0,0,3019196203,,0.000000,12,.,.,12.000000,0.000000,,,1,.,.,1.000000,0.000000,,,11,.,.,11.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.32849572640058833,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.083333,0.0,0.0,0.0,0,0,3019196203,,0.000000,12,.,.,12.000000,0.000000,,,1,.,.,1.000000,0.000000,,,11,.,.,11.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.32849572640058833,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.9137360000000001,0.901775,0.0,0.907716,284,823,3019196203,,0.000000,16067,.,.,10969.000000,5098.000000,,2.151628089446842,14681,.,.,10057.000000,4624.000000,,2.174956747404844,1386,.,.,912.000000,474.000000,,1.9240506329113924,16279,.,.,11176.000000,5103.000000,,2.190084264158338,14680,.,.,10057.000000,4623.000000,,2.175427211767251,1599,.,.,1119.000000,480.000000,,2.33125,0,.,.,0.000000,0.000000,,,0.909320499325727,0.9180029178270707,0.8971320075903323,0.9062757299045012,0.0,0.00022657789354763036
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.9137360000000001,0.901775,0.0,0.907716,284,823,3019196203,,0.000000,16067,.,.,10969.000000,5098.000000,,2.151628089446842,14681,.,.,10057.000000,4624.000000,,2.174956747404844,1386,.,.,912.000000,474.000000,,1.9240506329113924,16279,.,.,11176.000000,5103.000000,,2.190084264158338,14680,.,.,10057.000000,4623.000000,,2.175427211767251,1599,.,.,1119.000000,480.000000,,2.33125,0,.,.,0.000000,0.000000,,,0.909320499325727,0.9180029178270707,0.8971320075903323,0.9062757299045012,0.0,0.00022657789354763036
