Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.957324,0.9610040000000001,0.0,0.95916,9705,12849,2965089780,,0.000000,837430,.,.,545596.000000,291834.000000,,1.8695422740324978,801692,.,.,518358.000000,283334.000000,,1.8294945188364262,35738,.,.,27238.000000,8500.000000,,3.204470588235294,816049,.,.,504820.000000,292359.000000,,1.7267127059539813,784226,.,.,483456.000000,283346.000000,,1.7062390151969677,31823,.,.,21364.000000,9013.000000,,2.370353933207589,0,.,.,0.000000,0.000000,,,0.9568897059722954,0.9577555213732074,0.9605819157570106,0.9614219485184204,0.0,4.52040394205433e-06
INDEL,*,*,PASS,*,QUAL,*,0.957324,0.9610040000000001,0.0,0.95916,9705,12849,2965089780,,0.000000,837430,.,.,545596.000000,291834.000000,,1.8695422740324978,801692,.,.,518358.000000,283334.000000,,1.8294945188364262,35738,.,.,27238.000000,8500.000000,,3.204470588235294,816049,.,.,504820.000000,292359.000000,,1.7267127059539813,784226,.,.,483456.000000,283346.000000,,1.7062390151969677,31823,.,.,21364.000000,9013.000000,,2.370353933207589,0,.,.,0.000000,0.000000,,,0.9568897059722954,0.9577555213732074,0.9605819157570106,0.9614219485184204,0.0,4.52040394205433e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.2,0.0,0.0,0.0,0,0,2965089780,,0.000000,5,.,.,5.000000,0.000000,,,1,.,.,1.000000,0.000000,,,4,.,.,4.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.6286264006319943,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.2,0.0,0.0,0.0,0,0,2965089780,,0.000000,5,.,.,5.000000,0.000000,,,1,.,.,1.000000,0.000000,,,4,.,.,4.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.6286264006319943,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.232,0.0,0.0,0.0,0,0,2965089780,,0.000000,125,.,.,125.000000,0.000000,,,29,.,.,29.000000,0.000000,,,96,.,.,96.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.16468046079654783,0.3115637421136973,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.232,0.0,0.0,0.0,0,0,2965089780,,0.000000,125,.,.,125.000000,0.000000,,,29,.,.,29.000000,0.000000,,,96,.,.,96.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.16468046079654783,0.3115637421136973,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.266667,0.0,0.0,0.0,0,0,2965089780,,0.000000,15,.,.,15.000000,0.000000,,,4,.,.,4.000000,0.000000,,,11,.,.,11.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.09741092580268479,0.5166215050118868,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.266667,0.0,0.0,0.0,0,0,2965089780,,0.000000,15,.,.,15.000000,0.000000,,,4,.,.,4.000000,0.000000,,,11,.,.,11.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.09741092580268479,0.5166215050118868,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.8963979999999999,0.896342,0.0,0.8963700000000001,335,842,2965089780,,0.000000,16129,.,.,11173.000000,4956.000000,,2.254439063761098,14458,.,.,10033.000000,4425.000000,,2.2673446327683617,1671,.,.,1140.000000,531.000000,,2.146892655367232,16130,.,.,11213.000000,4917.000000,,2.280455562334757,14458,.,.,10031.000000,4427.000000,,2.265868533995934,1672,.,.,1182.000000,490.000000,,2.4122448979591837,0,.,.,0.000000,0.000000,,,0.8916236551055957,0.9010296825018633,0.8915671268382453,0.9009750928687192,0.0,0.0002286706552261375
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.8963979999999999,0.896342,0.0,0.8963700000000001,335,842,2965089780,,0.000000,16129,.,.,11173.000000,4956.000000,,2.254439063761098,14458,.,.,10033.000000,4425.000000,,2.2673446327683617,1671,.,.,1140.000000,531.000000,,2.146892655367232,16130,.,.,11213.000000,4917.000000,,2.280455562334757,14458,.,.,10031.000000,4427.000000,,2.265868533995934,1672,.,.,1182.000000,490.000000,,2.4122448979591837,0,.,.,0.000000,0.000000,,,0.8916236551055957,0.9010296825018633,0.8915671268382453,0.9009750928687192,0.0,0.0002286706552261375
