Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.9427040000000001,0.959525,0.0,0.95104,12030,11941,3019196203,,0.000000,828022,.,.,529339.000000,298683.000000,,1.7722434822202804,780580,.,.,491864.000000,288716.000000,,1.7036257083085107,47442,.,.,37475.000000,9967.000000,,3.7599076953948027,796853,.,.,479636.000000,299973.000000,,1.5989305704180043,764600,.,.,459853.000000,288748.000000,,1.5925755329907048,32253,.,.,19783.000000,11225.000000,,1.7624053452115813,0,.,.,0.000000,0.000000,,,0.9422022904689458,0.9432034564352416,0.9590901631961695,0.9599555579088714,0.0,4.629299150127331e-06
INDEL,*,*,PASS,*,QUAL,*,0.9427040000000001,0.959525,0.0,0.95104,12030,11941,3019196203,,0.000000,828022,.,.,529339.000000,298683.000000,,1.7722434822202804,780580,.,.,491864.000000,288716.000000,,1.7036257083085107,47442,.,.,37475.000000,9967.000000,,3.7599076953948027,796853,.,.,479636.000000,299973.000000,,1.5989305704180043,764600,.,.,459853.000000,288748.000000,,1.5925755329907048,32253,.,.,19783.000000,11225.000000,,1.7624053452115813,0,.,.,0.000000,0.000000,,,0.9422022904689458,0.9432034564352416,0.9590901631961695,0.9599555579088714,0.0,4.629299150127331e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.333333,0.0,0.0,0.0,0,0,3019196203,,0.000000,3,.,.,3.000000,0.000000,,,1,.,.,1.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.8232639028687426,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.333333,0.0,0.0,0.0,0,0,3019196203,,0.000000,3,.,.,3.000000,0.000000,,,1,.,.,1.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.8232639028687426,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.20769200000000002,0.0,0.0,0.0,0,0,3019196203,,0.000000,130,.,.,130.000000,0.000000,,,27,.,.,27.000000,0.000000,,,103,.,.,103.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.14484667215282993,0.2833835670359153,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.20769200000000002,0.0,0.0,0.0,0,0,3019196203,,0.000000,130,.,.,130.000000,0.000000,,,27,.,.,27.000000,0.000000,,,103,.,.,103.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.14484667215282993,0.2833835670359153,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.333333,0.0,0.0,0.0,0,0,3019196203,,0.000000,9,.,.,9.000000,0.000000,,,3,.,.,3.000000,0.000000,,,6,.,.,6.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.10421322166077418,0.6522082065277341,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.333333,0.0,0.0,0.0,0,0,3019196203,,0.000000,9,.,.,9.000000,0.000000,,,3,.,.,3.000000,0.000000,,,6,.,.,6.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.10421322166077418,0.6522082065277341,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.8721969999999999,0.9075190000000001,0.0,0.889508,381,634,3019196203,,0.000000,16189,.,.,11013.000000,5176.000000,,2.1277047913446676,14120,.,.,9608.000000,4512.000000,,2.129432624113475,2069,.,.,1405.000000,664.000000,,2.1159638554216866,15560,.,.,10560.000000,5000.000000,,2.112,14121,.,.,9611.000000,4510.000000,,2.131042128603104,1439,.,.,949.000000,490.000000,,1.936734693877551,0,.,.,0.000000,0.000000,,,0.8669877748721155,0.8772734976750476,0.9028915227326391,0.9119954522381428,0.0,0.00023704641510369218
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.8721969999999999,0.9075190000000001,0.0,0.889508,381,634,3019196203,,0.000000,16189,.,.,11013.000000,5176.000000,,2.1277047913446676,14120,.,.,9608.000000,4512.000000,,2.129432624113475,2069,.,.,1405.000000,664.000000,,2.1159638554216866,15560,.,.,10560.000000,5000.000000,,2.112,14121,.,.,9611.000000,4510.000000,,2.131042128603104,1439,.,.,949.000000,490.000000,,1.936734693877551,0,.,.,0.000000,0.000000,,,0.8669877748721155,0.8772734976750476,0.9028915227326391,0.9119954522381428,0.0,0.00023704641510369218
