Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.958092,0.9575790000000001,0.0,0.957835,10028,13910,2965089780,,0.000000,833691,.,.,541480.000000,292211.000000,,1.8530445465776442,798753,.,.,515591.000000,283162.000000,,1.8208340102132348,34938,.,.,25889.000000,9049.000000,,2.8609791137142224,816049,.,.,504820.000000,292359.000000,,1.7267127059539813,781431,.,.,480986.000000,283154.000000,,1.6986728070237398,34618,.,.,23834.000000,9205.000000,,2.589244975556763,0,.,.,0.000000,0.000000,,,0.9576606692804255,0.9585209235270903,0.9571396132150981,0.958014196499688,0.0,4.52040394205433e-06
INDEL,*,*,PASS,*,QUAL,*,0.958092,0.9575790000000001,0.0,0.957835,10028,13910,2965089780,,0.000000,833691,.,.,541480.000000,292211.000000,,1.8530445465776442,798753,.,.,515591.000000,283162.000000,,1.8208340102132348,34938,.,.,25889.000000,9049.000000,,2.8609791137142224,816049,.,.,504820.000000,292359.000000,,1.7267127059539813,781431,.,.,480986.000000,283154.000000,,1.6986728070237398,34618,.,.,23834.000000,9205.000000,,2.589244975556763,0,.,.,0.000000,0.000000,,,0.9576606692804255,0.9585209235270903,0.9571396132150981,0.958014196499688,0.0,4.52040394205433e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.5,0.0,0.0,0.0,0,0,2965089780,,0.000000,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,1.0,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.5,0.0,0.0,0.0,0,0,2965089780,,0.000000,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,1.0,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.28947399999999995,0.0,0.0,0.0,0,0,2965089780,,0.000000,152,.,.,152.000000,0.000000,,,44,.,.,44.000000,0.000000,,,108,.,.,108.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.22184510999806492,0.3650329359877248,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.28947399999999995,0.0,0.0,0.0,0,0,2965089780,,0.000000,152,.,.,152.000000,0.000000,,,44,.,.,44.000000,0.000000,,,108,.,.,108.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.22184510999806492,0.3650329359877248,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.35,0.0,0.0,0.0,0,0,2965089780,,0.000000,20,.,.,20.000000,0.000000,,,7,.,.,7.000000,0.000000,,,13,.,.,13.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.17227621363191203,0.5677660938414961,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.35,0.0,0.0,0.0,0,0,2965089780,,0.000000,20,.,.,20.000000,0.000000,,,7,.,.,7.000000,0.000000,,,13,.,.,13.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.17227621363191203,0.5677660938414961,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.9016040000000001,0.89597,0.0,0.8987780000000001,347,851,2965089780,,0.000000,16027,.,.,11089.000000,4938.000000,,2.2456460105305793,14450,.,.,10024.000000,4426.000000,,2.264798915499322,1577,.,.,1065.000000,512.000000,,2.080078125,16130,.,.,11213.000000,4917.000000,,2.280455562334757,14452,.,.,10025.000000,4427.000000,,2.264513214366388,1678,.,.,1188.000000,490.000000,,2.4244897959183676,0,.,.,0.000000,0.000000,,,0.8969197773804718,0.9061422777157524,0.8911877628148113,0.9006106349918858,0.0,0.0002286706552261375
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.9016040000000001,0.89597,0.0,0.8987780000000001,347,851,2965089780,,0.000000,16027,.,.,11089.000000,4938.000000,,2.2456460105305793,14450,.,.,10024.000000,4426.000000,,2.264798915499322,1577,.,.,1065.000000,512.000000,,2.080078125,16130,.,.,11213.000000,4917.000000,,2.280455562334757,14452,.,.,10025.000000,4427.000000,,2.264513214366388,1678,.,.,1188.000000,490.000000,,2.4244897959183676,0,.,.,0.000000,0.000000,,,0.8969197773804718,0.9061422777157524,0.8911877628148113,0.9006106349918858,0.0,0.0002286706552261375
INDEL,D1_5,*,ALL,*,QUAL,*,0.965967,0.965311,0.0,0.9656389999999999,3465,5077,2965089780,,0.000000,363856,.,.,233114.000000,130742.000000,,1.7830077557326642,351473,.,.,224034.000000,127439.000000,,1.7579704799943503,12383,.,.,9080.000000,3303.000000,,2.7490160460187707,364093,.,.,233382.000000,130711.000000,,1.7854809465155954,351463,.,.,224030.000000,127433.000000,,1.7580218624689052,12630,.,.,9352.000000,3278.000000,,2.8529591214154975,0,.,.,0.000000,0.000000,,,0.9653744621227484,0.9665527363221541,0.964712967433973,0.9659017560456885,0.0,1.0131644296529352e-05
