Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.955001,0.957572,0.0,0.956285,10422,13413,3019196203,,0.000000,821925,.,.,526398.000000,295527.000000,,1.7812179597803246,784939,.,.,498117.000000,286822.000000,,1.7366764055755834,36986,.,.,28281.000000,8705.000000,,3.2488225157955197,802578,.,.,487624.000000,297199.000000,,1.6407323039444952,768526,.,.,465291.000000,286859.000000,,1.6220198773613517,34052,.,.,22333.000000,10340.000000,,2.159864603481625,0,.,.,0.000000,0.000000,,,0.954550993684248,0.9554473226893064,0.9571290949252265,0.9580110550707364,0.0,4.5962772173835376e-06
INDEL,*,*,PASS,*,QUAL,*,0.955001,0.957572,0.0,0.956285,10422,13413,3019196203,,0.000000,821925,.,.,526398.000000,295527.000000,,1.7812179597803246,784939,.,.,498117.000000,286822.000000,,1.7366764055755834,36986,.,.,28281.000000,8705.000000,,3.2488225157955197,802578,.,.,487624.000000,297199.000000,,1.6407323039444952,768526,.,.,465291.000000,286859.000000,,1.6220198773613517,34052,.,.,22333.000000,10340.000000,,2.159864603481625,0,.,.,0.000000,0.000000,,,0.954550993684248,0.9554473226893064,0.9571290949252265,0.9580110550707364,0.0,4.5962772173835376e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3019196203,,0.000000,3,.,.,3.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3,.,.,3.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.7075982261787134,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3019196203,,0.000000,3,.,.,3.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3,.,.,3.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.7075982261787134,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.20895500000000003,0.0,0.0,0.0,0,0,3019196203,,0.000000,134,.,.,134.000000,0.000000,,,28,.,.,28.000000,0.000000,,,106,.,.,106.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.14677127834739115,0.2835524848808828,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.20895500000000003,0.0,0.0,0.0,0,0,3019196203,,0.000000,134,.,.,134.000000,0.000000,,,28,.,.,28.000000,0.000000,,,106,.,.,106.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.14677127834739115,0.2835524848808828,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.28571399999999997,0.0,0.0,0.0,0,0,3019196203,,0.000000,14,.,.,14.000000,0.000000,,,4,.,.,4.000000,0.000000,,,10,.,.,10.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.10502856012226527,0.5452511415613865,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.28571399999999997,0.0,0.0,0.0,0,0,3019196203,,0.000000,14,.,.,14.000000,0.000000,,,4,.,.,4.000000,0.000000,,,10,.,.,10.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.10502856012226527,0.5452511415613865,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.9035479999999999,0.899481,0.0,0.90151,284,772,3019196203,,0.000000,15728,.,.,10760.000000,4968.000000,,2.1658615136876005,14211,.,.,9700.000000,4511.000000,,2.150299268454888,1517,.,.,1060.000000,457.000000,,2.3194748358862145,15798,.,.,10780.000000,5018.000000,,2.1482662415304903,14210,.,.,9698.000000,4512.000000,,2.1493794326241136,1588,.,.,1082.000000,506.000000,,2.1383399209486167,0,.,.,0.000000,0.000000,,,0.8988599274924671,0.9080871929694506,0.8947189279923116,0.9040966084712584,0.0,0.00023347568081621972
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.9035479999999999,0.899481,0.0,0.90151,284,772,3019196203,,0.000000,15728,.,.,10760.000000,4968.000000,,2.1658615136876005,14211,.,.,9700.000000,4511.000000,,2.150299268454888,1517,.,.,1060.000000,457.000000,,2.3194748358862145,15798,.,.,10780.000000,5018.000000,,2.1482662415304903,14210,.,.,9698.000000,4512.000000,,2.1493794326241136,1588,.,.,1082.000000,506.000000,,2.1383399209486167,0,.,.,0.000000,0.000000,,,0.8988599274924671,0.9080871929694506,0.8947189279923116,0.9040966084712584,0.0,0.00023347568081621972
INDEL,D1_5,*,ALL,*,QUAL,*,0.9629770000000001,0.964585,0.0,0.963781,3690,4963,3019196203,,0.000000,359104,.,.,227130.000000,131974.000000,,1.7210208071286768,345809,.,.,216980.000000,128829.000000,,1.6842481118381731,13295,.,.,10150.000000,3145.000000,,3.2273449920508743,358497,.,.,225855.000000,132641.000000,,1.7027540504067369,345801,.,.,216959.000000,128842.000000,,1.683915182937241,12696,.,.,8896.000000,3799.000000,,2.3416688602263753,0,.,.,0.000000,0.000000,,,0.9623560016921847,0.9635911334682945,0.9639767067145781,0.9651867471388292,0.0,1.0289794545537134e-05
INDEL,D1_5,*,PASS,*,QUAL,*,0.9629770000000001,0.964585,0.0,0.963781,3690,4963,3019196203,,0.000000,359104,.,.,227130.000000,131974.000000,,1.7210208071286768,345809,.,.,216980.000000,128829.000000,,1.6842481118381731,13295,.,.,10150.000000,3145.000000,,3.2273449920508743,358497,.,.,225855.000000,132641.000000,,1.7027540504067369,345801,.,.,216959.000000,128842.000000,,1.683915182937241,12696,.,.,8896.000000,3799.000000,,2.3416688602263753,0,.,.,0.000000,0.000000,,,0.9623560016921847,0.9635911334682945,0.9639767067145781,0.9651867471388292,0.0,1.0289794545537134e-05
INDEL,D6_15,*,ALL,*,QUAL,*,0.941533,0.941174,0.0,0.9413530000000001,778,1550,3019196203,,0.000000,49720,.,.,35994.000000,13726.000000,,2.6223225994463064,46813,.,.,33831.000000,12982.000000,,2.60599291326452,2907,.,.,2163.000000,744.000000,,2.907258064516129,49740,.,.,35982.000000,13757.000000,,2.615541179036127,46814,.,.,33830.000000,12984.000000,,2.6055144793592113,2926,.,.,2152.000000,773.000000,,2.783958602846054,0,.,.,0.000000,0.000000,,,0.9394445106905736,0.9435692515104845,0.9390805624262869,0.94321630792611,0.0,7.416048789454788e-05
