Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.943378,0.954263,0.0,0.948789,12480,13563,3019196203,,0.000000,822749,.,.,523347.000000,299402.000000,,1.7479742954288882,776163,.,.,487687.000000,288476.000000,,1.690563513082544,46586,.,.,35660.000000,10926.000000,,3.2637744828848616,796853,.,.,479636.000000,299973.000000,,1.5989305704180043,760407,.,.,456172.000000,288486.000000,,1.581262175634173,36446,.,.,23464.000000,11487.000000,,2.0426569165143205,0,.,.,0.000000,0.000000,,,0.942876664391647,0.9438754720026266,0.9538022293795339,0.9547196315641433,0.0,4.629299150127331e-06
INDEL,*,*,PASS,*,QUAL,*,0.943378,0.954263,0.0,0.948789,12480,13563,3019196203,,0.000000,822749,.,.,523347.000000,299402.000000,,1.7479742954288882,776163,.,.,487687.000000,288476.000000,,1.690563513082544,46586,.,.,35660.000000,10926.000000,,3.2637744828848616,796853,.,.,479636.000000,299973.000000,,1.5989305704180043,760407,.,.,456172.000000,288486.000000,,1.581262175634173,36446,.,.,23464.000000,11487.000000,,2.0426569165143205,0,.,.,0.000000,0.000000,,,0.942876664391647,0.9438754720026266,0.9538022293795339,0.9547196315641433,0.0,4.629299150127331e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.333333,0.0,0.0,0.0,0,0,3019196203,,0.000000,3,.,.,3.000000,0.000000,,,1,.,.,1.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.8232639028687426,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.333333,0.0,0.0,0.0,0,0,3019196203,,0.000000,3,.,.,3.000000,0.000000,,,1,.,.,1.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.8232639028687426,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.18128699999999998,0.0,0.0,0.0,0,0,3019196203,,0.000000,171,.,.,171.000000,0.000000,,,31,.,.,31.000000,0.000000,,,140,.,.,140.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.12914002016665377,0.244112623600928,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.18128699999999998,0.0,0.0,0.0,0,0,3019196203,,0.000000,171,.,.,171.000000,0.000000,,,31,.,.,31.000000,0.000000,,,140,.,.,140.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.12914002016665377,0.244112623600928,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.083333,0.0,0.0,0.0,0,0,3019196203,,0.000000,12,.,.,12.000000,0.000000,,,1,.,.,1.000000,0.000000,,,11,.,.,11.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.32849572640058833,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.083333,0.0,0.0,0.0,0,0,3019196203,,0.000000,12,.,.,12.000000,0.000000,,,1,.,.,1.000000,0.000000,,,11,.,.,11.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.32849572640058833,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.8758450000000001,0.8990360000000001,0.0,0.887289,379,746,3019196203,,0.000000,15972,.,.,10875.000000,5097.000000,,2.1336080047086523,13989,.,.,9504.000000,4485.000000,,2.1190635451505018,1983,.,.,1371.000000,612.000000,,2.2401960784313726,15560,.,.,10560.000000,5000.000000,,2.112,13989,.,.,9506.000000,4483.000000,,2.120455052420254,1571,.,.,1054.000000,517.000000,,2.0386847195357833,0,.,.,0.000000,0.000000,,,0.8706632106760946,0.880891048734519,0.8942279394480945,0.9036956096825409,0.0,0.00023704641510369218
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.8758450000000001,0.8990360000000001,0.0,0.887289,379,746,3019196203,,0.000000,15972,.,.,10875.000000,5097.000000,,2.1336080047086523,13989,.,.,9504.000000,4485.000000,,2.1190635451505018,1983,.,.,1371.000000,612.000000,,2.2401960784313726,15560,.,.,10560.000000,5000.000000,,2.112,13989,.,.,9506.000000,4483.000000,,2.120455052420254,1571,.,.,1054.000000,517.000000,,2.0386847195357833,0,.,.,0.000000,0.000000,,,0.8706632106760946,0.880891048734519,0.8942279394480945,0.9036956096825409,0.0,0.00023704641510369218
