Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.9573530000000001,0.9609469999999999,0.0,0.959147,9697,12882,2965089780,,0.000000,837364,.,.,545554.000000,291810.000000,,1.8695521058222817,801653,.,.,518332.000000,283321.000000,,1.8294866953032074,35711,.,.,27222.000000,8489.000000,,3.2067381316998467,816049,.,.,504820.000000,292359.000000,,1.7267127059539813,784180,.,.,483417.000000,283333.000000,,1.706179654329005,31869,.,.,21403.000000,9026.000000,,2.371260802127188,0,.,.,0.000000,0.000000,,,0.9569187090590785,0.9577842786126786,0.960525255667322,0.9613658706797464,0.0,4.52040394205433e-06
INDEL,*,*,PASS,*,QUAL,*,0.9573530000000001,0.9609469999999999,0.0,0.959147,9697,12882,2965089780,,0.000000,837364,.,.,545554.000000,291810.000000,,1.8695521058222817,801653,.,.,518332.000000,283321.000000,,1.8294866953032074,35711,.,.,27222.000000,8489.000000,,3.2067381316998467,816049,.,.,504820.000000,292359.000000,,1.7267127059539813,784180,.,.,483417.000000,283333.000000,,1.706179654329005,31869,.,.,21403.000000,9026.000000,,2.371260802127188,0,.,.,0.000000,0.000000,,,0.9569187090590785,0.9577842786126786,0.960525255667322,0.9613658706797464,0.0,4.52040394205433e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.2,0.0,0.0,0.0,0,0,2965089780,,0.000000,5,.,.,5.000000,0.000000,,,1,.,.,1.000000,0.000000,,,4,.,.,4.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.6286264006319943,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.2,0.0,0.0,0.0,0,0,2965089780,,0.000000,5,.,.,5.000000,0.000000,,,1,.,.,1.000000,0.000000,,,4,.,.,4.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,0.6286264006319943,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.23577199999999998,0.0,0.0,0.0,0,0,2965089780,,0.000000,123,.,.,123.000000,0.000000,,,29,.,.,29.000000,0.000000,,,94,.,.,94.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.16746816359544184,0.3163422979978243,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.23577199999999998,0.0,0.0,0.0,0,0,2965089780,,0.000000,123,.,.,123.000000,0.000000,,,29,.,.,29.000000,0.000000,,,94,.,.,94.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.16746816359544184,0.3163422979978243,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.266667,0.0,0.0,0.0,0,0,2965089780,,0.000000,15,.,.,15.000000,0.000000,,,4,.,.,4.000000,0.000000,,,11,.,.,11.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.09741092580268479,0.5166215050118868,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.266667,0.0,0.0,0.0,0,0,2965089780,,0.000000,15,.,.,15.000000,0.000000,,,4,.,.,4.000000,0.000000,,,11,.,.,11.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.09741092580268479,0.5166215050118868,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.8970030000000001,0.89628,0.0,0.896642,334,842,2965089780,,0.000000,16117,.,.,11153.000000,4964.000000,,2.2467767929089444,14457,.,.,10026.000000,4431.000000,,2.2626946513202437,1660,.,.,1127.000000,533.000000,,2.1144465290806753,16130,.,.,11213.000000,4917.000000,,2.280455562334757,14457,.,.,10024.000000,4433.000000,,2.2612226483194227,1673,.,.,1189.000000,484.000000,,2.456611570247934,0,.,.,0.000000,0.000000,,,0.8922392938222607,0.9016244636394702,0.8915038981949166,0.9009143511953276,0.0,0.0002286706552261375
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.8970030000000001,0.89628,0.0,0.896642,334,842,2965089780,,0.000000,16117,.,.,11153.000000,4964.000000,,2.2467767929089444,14457,.,.,10026.000000,4431.000000,,2.2626946513202437,1660,.,.,1127.000000,533.000000,,2.1144465290806753,16130,.,.,11213.000000,4917.000000,,2.280455562334757,14457,.,.,10024.000000,4433.000000,,2.2612226483194227,1673,.,.,1189.000000,484.000000,,2.456611570247934,0,.,.,0.000000,0.000000,,,0.8922392938222607,0.9016244636394702,0.8915038981949166,0.9009143511953276,0.0,0.0002286706552261375
