Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio,METRIC.Recall.Lower,METRIC.Recall.Upper,METRIC.Precision.Lower,METRIC.Precision.Upper,METRIC.Frac_NA.Lower,METRIC.Frac_NA.Upper
INDEL,*,*,ALL,*,QUAL,*,0.9614459999999999,0.950274,0.0,0.9558270000000001,10209,15650,3019196203,,0.000000,816769,.,.,517802.000000,298967.000000,,1.7319704181397948,785279,.,.,495849.000000,289430.000000,,1.7131914452544657,31490,.,.,21953.000000,9537.000000,,2.3018769004928172,809116,.,.,491335.000000,299495.000000,,1.640544917277417,768882,.,.,463124.000000,289386.000000,,1.600367675008466,40234,.,.,28211.000000,10109.000000,,2.7906815708774357,0,.,.,0.000000,0.000000,,,0.9610264714821447,0.961861553013303,0.9497988638360338,0.9507461674644245,0.0,4.559137435244942e-06
INDEL,*,*,PASS,*,QUAL,*,0.9614459999999999,0.950274,0.0,0.9558270000000001,10209,15650,3019196203,,0.000000,816769,.,.,517802.000000,298967.000000,,1.7319704181397948,785279,.,.,495849.000000,289430.000000,,1.7131914452544657,31490,.,.,21953.000000,9537.000000,,2.3018769004928172,809116,.,.,491335.000000,299495.000000,,1.640544917277417,768882,.,.,463124.000000,289386.000000,,1.600367675008466,40234,.,.,28211.000000,10109.000000,,2.7906815708774357,0,.,.,0.000000,0.000000,,,0.9610264714821447,0.961861553013303,0.9497988638360338,0.9507461674644245,0.0,4.559137435244942e-06
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3019196203,,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,1.0,0.0,1.0,0.0,1.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3019196203,,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.0,1.0,0.0,1.0,0.0,1.0
INDEL,C1_5,*,ALL,*,QUAL,*,0.251309,0.0,0.0,0.0,0,0,3019196203,,0.000000,191,.,.,191.000000,0.000000,,,48,.,.,48.000000,0.000000,,,143,.,.,143.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.1938477195234191,0.31624127715178185,0.0,1.0,0.0,1.0
INDEL,C1_5,*,PASS,*,QUAL,*,0.251309,0.0,0.0,0.0,0,0,3019196203,,0.000000,191,.,.,191.000000,0.000000,,,48,.,.,48.000000,0.000000,,,143,.,.,143.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.1938477195234191,0.31624127715178185,0.0,1.0,0.0,1.0
INDEL,C6_15,*,ALL,*,QUAL,*,0.2,0.0,0.0,0.0,0,0,3019196203,,0.000000,10,.,.,10.000000,0.000000,,,2,.,.,2.000000,0.000000,,,8,.,.,8.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.044059413552630794,0.502774496439993,0.0,1.0,0.0,1.0
INDEL,C6_15,*,PASS,*,QUAL,*,0.2,0.0,0.0,0.0,0,0,3019196203,,0.000000,10,.,.,10.000000,0.000000,,,2,.,.,2.000000,0.000000,,,8,.,.,8.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0.044059413552630794,0.502774496439993,0.0,1.0,0.0,1.0
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.9189639999999999,0.888875,0.0,0.9036690000000001,298,911,3019196203,,0.000000,15746,.,.,10740.000000,5006.000000,,2.145425489412705,14470,.,.,9921.000000,4549.000000,,2.1809188832710484,1276,.,.,819.000000,457.000000,,1.7921225382932167,16279,.,.,11176.000000,5103.000000,,2.190084264158338,14470,.,.,9919.000000,4551.000000,,2.179520984399033,1809,.,.,1257.000000,552.000000,,2.277173913043478,0,.,.,0.000000,0.000000,,,0.9146240777392439,0.9231490138333898,0.8839782508601625,0.8936339621455667,0.0,0.00022657789354763036
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.9189639999999999,0.888875,0.0,0.9036690000000001,298,911,3019196203,,0.000000,15746,.,.,10740.000000,5006.000000,,2.145425489412705,14470,.,.,9921.000000,4549.000000,,2.1809188832710484,1276,.,.,819.000000,457.000000,,1.7921225382932167,16279,.,.,11176.000000,5103.000000,,2.190084264158338,14470,.,.,9919.000000,4551.000000,,2.179520984399033,1809,.,.,1257.000000,552.000000,,2.277173913043478,0,.,.,0.000000,0.000000,,,0.9146240777392439,0.9231490138333898,0.8839782508601625,0.8936339621455667,0.0,0.00022657789354763036
INDEL,D1_5,*,ALL,*,QUAL,*,0.968642,0.958931,0.0,0.9637620000000001,3711,5731,3019196203,,0.000000,356845,.,.,223465.000000,133380.000000,,1.675401109611636,345655,.,.,215724.000000,129931.000000,,1.6602966189746866,11190,.,.,7741.000000,3449.000000,,2.2444186720788633,360442,.,.,226800.000000,133642.000000,,1.6970712799868304,345639,.,.,215743.000000,129896.000000,,1.6608902506620682,14803,.,.,11057.000000,3746.000000,,2.9516817939135076,0,.,.,0.000000,0.000000,,,0.9680662130568056,0.9692098794677445,0.9582794298736483,0.9595751582322531,0.0,1.0234269529063589e-05
INDEL,D1_5,*,PASS,*,QUAL,*,0.968642,0.958931,0.0,0.9637620000000001,3711,5731,3019196203,,0.000000,356845,.,.,223465.000000,133380.000000,,1.675401109611636,345655,.,.,215724.000000,129931.000000,,1.6602966189746866,11190,.,.,7741.000000,3449.000000,,2.2444186720788633,360442,.,.,226800.000000,133642.000000,,1.6970712799868304,345639,.,.,215743.000000,129896.000000,,1.6608902506620682,14803,.,.,11057.000000,3746.000000,,2.9516817939135076,0,.,.,0.000000,0.000000,,,0.9680662130568056,0.9692098794677445,0.9582794298736483,0.9595751582322531,0.0,1.0234269529063589e-05
INDEL,D6_15,*,ALL,*,QUAL,*,0.9519120000000001,0.936427,0.0,0.944106,726,1725,3019196203,,0.000000,49368,.,.,35514.000000,13854.000000,,2.5634473798181032,46994,.,.,33844.000000,13150.000000,,2.5736882129277565,2374,.,.,1670.000000,704.000000,,2.372159090909091,50194,.,.,36304.000000,13890.000000,,2.613678905687545,47003,.,.,33862.000000,13141.000000,,2.5768206376988054,3191,.,.,2442.000000,749.000000,,3.260347129506008,0,.,.,0.000000,0.000000,,,0.9499983105831333,0.9537730430472582,0.9342669613808393,0.9385360391196514,0.0,7.348973791809765e-05
INDEL,D6_15,*,PASS,*,QUAL,*,0.9519120000000001,0.936427,0.0,0.944106,726,1725,3019196203,,0.000000,49368,.,.,35514.000000,13854.000000,,2.5634473798181032,46994,.,.,33844.000000,13150.000000,,2.5736882129277565,2374,.,.,1670.000000,704.000000,,2.372159090909091,50194,.,.,36304.000000,13890.000000,,2.613678905687545,47003,.,.,33862.000000,13141.000000,,2.5768206376988054,3191,.,.,2442.000000,749.000000,,3.260347129506008,0,.,.,0.000000,0.000000,,,0.9499983105831333,0.9537730430472582,0.9342669613808393,0.9385360391196514,0.0,7.348973791809765e-05
INDEL,I16_PLUS,*,ALL,*,QUAL,*,0.9262,0.856334,0.0,0.889898,62,497,3019196203,,0.000000,6355,.,.,4419.000000,1936.000000,,2.2825413223140494,5886,.,.,4083.000000,1803.000000,,2.264559068219634,469,.,.,336.000000,133.000000,,2.526315789473684,6710,.,.,3706.000000,2008.000000,,1.845617529880478,5746,.,.,3153.000000,1803.000000,,1.7487520798668885,964,.,.,553.000000,205.000000,,2.6975609756097563,0,.,.,0.000000,0.000000,,,0.9195773468506737,0.9324342528272781,0.847788455960411,0.8645718835639492,0.0,0.0005496073984367911
