	Key	Type	Filter	Metric	Group	Value
0	('PGPC-02', '1.saliva')	SNP	PASS	F1 Score	eHOMD	0.991596
1	('PGPC-02', '1.saliva')	SNP	PASS	F1 Score	Raw	0.991588
2	('PGPC-02', '1.saliva')	SNP	PASS	F1 Score	HROM	0.991597
3	('PGPC-02', '1.saliva')	SNP	PASS	Precision	eHOMD	0.991681
4	('PGPC-02', '1.saliva')	SNP	PASS	Precision	Raw	0.991678
5	('PGPC-02', '1.saliva')	SNP	PASS	Precision	HROM	0.991685
6	('PGPC-02', '1.saliva')	SNP	PASS	Recall	eHOMD	0.991512
7	('PGPC-02', '1.saliva')	SNP	PASS	Recall	Raw	0.991498
8	('PGPC-02', '1.saliva')	SNP	PASS	Recall	HROM	0.991509
9	('PGPC-02', '2.buccal')	SNP	PASS	F1 Score	eHOMD	0.990735
10	('PGPC-02', '2.buccal')	SNP	PASS	F1 Score	Raw	0.990737
11	('PGPC-02', '2.buccal')	SNP	PASS	F1 Score	HROM	0.990738
12	('PGPC-02', '2.buccal')	SNP	PASS	Precision	eHOMD	0.990145
13	('PGPC-02', '2.buccal')	SNP	PASS	Precision	Raw	0.990143
14	('PGPC-02', '2.buccal')	SNP	PASS	Precision	HROM	0.990146
15	('PGPC-02', '2.buccal')	SNP	PASS	Recall	eHOMD	0.991327
16	('PGPC-02', '2.buccal')	SNP	PASS	Recall	Raw	0.991331
17	('PGPC-02', '2.buccal')	SNP	PASS	Recall	HROM	0.991331
18	('PGPC-02', '3.saliva_enriched')	SNP	PASS	F1 Score	eHOMD	0.991799
19	('PGPC-02', '3.saliva_enriched')	SNP	PASS	F1 Score	Raw	0.991797
20	('PGPC-02', '3.saliva_enriched')	SNP	PASS	F1 Score	HROM	0.991805
21	('PGPC-02', '3.saliva_enriched')	SNP	PASS	Precision	eHOMD	0.991961
22	('PGPC-02', '3.saliva_enriched')	SNP	PASS	Precision	Raw	0.991973
23	('PGPC-02', '3.saliva_enriched')	SNP	PASS	Precision	HROM	0.991982
24	('PGPC-02', '3.saliva_enriched')	SNP	PASS	Recall	eHOMD	0.991638
25	('PGPC-02', '3.saliva_enriched')	SNP	PASS	Recall	Raw	0.991621
26	('PGPC-02', '3.saliva_enriched')	SNP	PASS	Recall	HROM	0.991627
27	('PGPC-02', '4.buccal_enriched')	SNP	PASS	F1 Score	eHOMD	0.991204
28	('PGPC-02', '4.buccal_enriched')	SNP	PASS	F1 Score	Raw	0.991213
29	('PGPC-02', '4.buccal_enriched')	SNP	PASS	F1 Score	HROM	0.991215
30	('PGPC-02', '4.buccal_enriched')	SNP	PASS	Precision	eHOMD	0.990481
31	('PGPC-02', '4.buccal_enriched')	SNP	PASS	Precision	Raw	0.990493
32	('PGPC-02', '4.buccal_enriched')	SNP	PASS	Precision	HROM	0.990499
33	('PGPC-02', '4.buccal_enriched')	SNP	PASS	Recall	eHOMD	0.991928
34	('PGPC-02', '4.buccal_enriched')	SNP	PASS	Recall	Raw	0.991935
35	('PGPC-02', '4.buccal_enriched')	SNP	PASS	Recall	HROM	0.991932
36	('PGPC-05', '1.saliva')	SNP	PASS	F1 Score	eHOMD	0.988772
37	('PGPC-05', '1.saliva')	SNP	PASS	F1 Score	Raw	0.988925
38	('PGPC-05', '1.saliva')	SNP	PASS	F1 Score	HROM	0.988932
39	('PGPC-05', '1.saliva')	SNP	PASS	Precision	eHOMD	0.987767
40	('PGPC-05', '1.saliva')	SNP	PASS	Precision	Raw	0.988027
41	('PGPC-05', '1.saliva')	SNP	PASS	Precision	HROM	0.988036
42	('PGPC-05', '1.saliva')	SNP	PASS	Recall	eHOMD	0.989779
43	('PGPC-05', '1.saliva')	SNP	PASS	Recall	Raw	0.989824
44	('PGPC-05', '1.saliva')	SNP	PASS	Recall	HROM	0.989829
