sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.955802	0.950238	0.961431
PGPC-02	2.buccal	0.955506	0.951218	0.959832
PGPC-02	3.saliva_enriched	0.959225	0.957488	0.960969
PGPC-02	4.buccal_enriched	0.960139	0.95942	0.960859
PGPC-05	1.saliva	0.936207	0.929174	0.943348
PGPC-05	2.buccal	0.949441	0.953872	0.945051
PGPC-05	3.saliva_enriched	0.948989	0.954668	0.943377
PGPC-05	4.buccal_enriched	0.951068	0.959553	0.942732
PGPC-06	1.saliva	0.953159	0.949064	0.95729
PGPC-06	2.buccal	0.956371	0.954199	0.958554
PGPC-06	3.saliva_enriched	0.95782	0.957572	0.958067
PGPC-06	4.buccal_enriched	0.95916	0.961004	0.957324
PGPC-50	1.saliva	0.946731	0.941425	0.952097
PGPC-50	2.buccal	0.956287	0.957565	0.955012
PGPC-50	3.saliva_enriched	0.953471	0.954452	0.952492
PGPC-50	4.buccal_enriched	0.959988	0.96697	0.953106
