sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.955827	0.950274	0.961446
PGPC-02	2.buccal	0.955492	0.951223	0.959799
PGPC-02	3.saliva_enriched	0.959235	0.957499	0.960976
PGPC-02	4.buccal_enriched	0.960138	0.959425	0.960853
PGPC-05	1.saliva	0.936212	0.929195	0.943335
PGPC-05	2.buccal	0.949452	0.953884	0.945061
PGPC-05	3.saliva_enriched	0.948996	0.954673	0.943386
PGPC-05	4.buccal_enriched	0.95104	0.959525	0.942704
PGPC-06	1.saliva	0.953156	0.949053	0.957294
PGPC-06	2.buccal	0.956358	0.95419	0.958535
PGPC-06	3.saliva_enriched	0.957835	0.957579	0.958092
PGPC-06	4.buccal_enriched	0.959166	0.960997	0.957342
PGPC-50	1.saliva	0.946776	0.941492	0.95212
PGPC-50	2.buccal	0.956285	0.957572	0.955001
PGPC-50	3.saliva_enriched	0.953484	0.954447	0.952523
PGPC-50	4.buccal_enriched	0.959981	0.966966	0.953096
