sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.955743	0.950099	0.961454
PGPC-02	2.buccal	0.955501	0.9512	0.959841
PGPC-02	3.saliva_enriched	0.959179	0.957362	0.961002
PGPC-02	4.buccal_enriched	0.960119	0.959358	0.960881
PGPC-05	1.saliva	0.935484	0.927992	0.943097
PGPC-05	2.buccal	0.949384	0.953769	0.945038
PGPC-05	3.saliva_enriched	0.948789	0.954263	0.943378
PGPC-05	4.buccal_enriched	0.951006	0.959443	0.942716
PGPC-06	1.saliva	0.953047	0.948832	0.9573
PGPC-06	2.buccal	0.956254	0.953948	0.958571
PGPC-06	3.saliva_enriched	0.957782	0.957423	0.958142
PGPC-06	4.buccal_enriched	0.959147	0.960947	0.957353
PGPC-50	1.saliva	0.946218	0.940488	0.952018
PGPC-50	2.buccal	0.956207	0.957437	0.95498
PGPC-50	3.saliva_enriched	0.953179	0.953882	0.952476
PGPC-50	4.buccal_enriched	0.959979	0.966943	0.953115
