sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.991597	0.991685	0.991509
PGPC-02	2.buccal	0.990738	0.990146	0.991331
PGPC-02	3.saliva_enriched	0.991805	0.991982	0.991627
PGPC-02	4.buccal_enriched	0.991215	0.990499	0.991932
PGPC-05	1.saliva	0.988932	0.988036	0.989829
PGPC-05	2.buccal	0.990499	0.990327	0.990671
PGPC-05	3.saliva_enriched	0.990377	0.990368	0.990386
PGPC-05	4.buccal_enriched	0.990268	0.990022	0.990515
PGPC-06	1.saliva	0.99132	0.991615	0.991024
PGPC-06	2.buccal	0.99128	0.991142	0.991418
PGPC-06	3.saliva_enriched	0.991684	0.991857	0.991511
PGPC-06	4.buccal_enriched	0.991334	0.991211	0.991457
PGPC-50	1.saliva	0.990085	0.989472	0.990699
PGPC-50	2.buccal	0.991438	0.991137	0.99174
PGPC-50	3.saliva_enriched	0.990778	0.990006	0.991552
PGPC-50	4.buccal_enriched	0.991661	0.99159	0.991731
