sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.991588	0.991678	0.991498
PGPC-02	2.buccal	0.990737	0.990143	0.991331
PGPC-02	3.saliva_enriched	0.991797	0.991973	0.991621
PGPC-02	4.buccal_enriched	0.991213	0.990493	0.991935
PGPC-05	1.saliva	0.988925	0.988027	0.989824
PGPC-05	2.buccal	0.990489	0.990312	0.990667
PGPC-05	3.saliva_enriched	0.990372	0.990373	0.990371
PGPC-05	4.buccal_enriched	0.99027	0.99002	0.99052
PGPC-06	1.saliva	0.991315	0.9916	0.99103
PGPC-06	2.buccal	0.991275	0.991132	0.991418
PGPC-06	3.saliva_enriched	0.991685	0.991861	0.991509
PGPC-06	4.buccal_enriched	0.991334	0.991208	0.99146
PGPC-50	1.saliva	0.990082	0.989474	0.990691
PGPC-50	2.buccal	0.991442	0.991149	0.991736
PGPC-50	3.saliva_enriched	0.990783	0.990005	0.991561
PGPC-50	4.buccal_enriched	0.99166	0.991584	0.991736
