sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.991596	0.991681	0.991512
PGPC-02	2.buccal	0.990735	0.990145	0.991327
PGPC-02	3.saliva_enriched	0.991799	0.991961	0.991638
PGPC-02	4.buccal_enriched	0.991204	0.990481	0.991928
PGPC-05	1.saliva	0.988772	0.987767	0.989779
PGPC-05	2.buccal	0.990489	0.990318	0.99066
PGPC-05	3.saliva_enriched	0.990337	0.990322	0.990352
PGPC-05	4.buccal_enriched	0.990272	0.990022	0.990521
PGPC-06	1.saliva	0.991306	0.991586	0.991026
PGPC-06	2.buccal	0.991289	0.991123	0.991454
PGPC-06	3.saliva_enriched	0.991682	0.991849	0.991515
PGPC-06	4.buccal_enriched	0.991333	0.991195	0.991471
PGPC-50	1.saliva	0.989786	0.988943	0.990632
PGPC-50	2.buccal	0.991428	0.99112	0.991736
PGPC-50	3.saliva_enriched	0.990765	0.989983	0.991549
PGPC-50	4.buccal_enriched	0.991667	0.991586	0.991749
