sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.7705810000000001	0.754664	0.787184
PGPC-02	2.buccal	0.764872	0.7505029999999999	0.779802
PGPC-02	3.saliva_enriched	0.781971	0.777067	0.786937
PGPC-02	4.buccal_enriched	0.784928	0.78277	0.787097
PGPC-05	1.saliva	0.7228939999999999	0.705802	0.7408359999999999
PGPC-05	2.buccal	0.760268	0.771662	0.749205
PGPC-05	3.saliva_enriched	0.7557520000000001	0.7693300000000001	0.742645
PGPC-05	4.buccal_enriched	0.761659	0.784858	0.739792
PGPC-06	1.saliva	0.767059	0.758599	0.77571
PGPC-06	2.buccal	0.775985	0.771487	0.7805350000000001
PGPC-06	3.saliva_enriched	0.779695	0.780165	0.779227
PGPC-06	4.buccal_enriched	0.786469	0.7949689999999999	0.778149
PGPC-50	1.saliva	0.749927	0.740765	0.759319
PGPC-50	2.buccal	0.7731060000000001	0.775717	0.770512
PGPC-50	3.saliva_enriched	0.766169	0.771051	0.76135
PGPC-50	4.buccal_enriched	0.787213	0.808986	0.7665810000000001
