sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.770644	0.754692	0.787285
PGPC-02	2.buccal	0.764977	0.750496	0.7800279999999999
PGPC-02	3.saliva_enriched	0.7817850000000001	0.776697	0.786941
PGPC-02	4.buccal_enriched	0.78497	0.782692	0.787262
PGPC-05	1.saliva	0.7228140000000001	0.705693	0.740786
PGPC-05	2.buccal	0.760281	0.7716689999999999	0.749225
PGPC-05	3.saliva_enriched	0.755753	0.769396	0.742585
PGPC-05	4.buccal_enriched	0.761826	0.784887	0.7400800000000001
PGPC-06	1.saliva	0.767266	0.758683	0.776046
PGPC-06	2.buccal	0.775871	0.771306	0.7804909999999999
PGPC-06	3.saliva_enriched	0.779692	0.7802060000000001	0.7791779999999999
PGPC-06	4.buccal_enriched	0.786629	0.794913	0.778515
PGPC-50	1.saliva	0.749788	0.7405520000000001	0.759258
PGPC-50	2.buccal	0.773274	0.7759229999999999	0.7706430000000001
PGPC-50	3.saliva_enriched	0.7661939999999999	0.770937	0.761509
PGPC-50	4.buccal_enriched	0.786925	0.808404	0.766559
