sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.770413	0.7545569999999999	0.78695
PGPC-02	2.buccal	0.765061	0.75066	0.780026
PGPC-02	3.saliva_enriched	0.781856	0.776853	0.786924
PGPC-02	4.buccal_enriched	0.784945	0.78265	0.787255
PGPC-05	1.saliva	0.721342	0.704654	0.7388399999999999
PGPC-05	2.buccal	0.760104	0.7715380000000001	0.749003
PGPC-05	3.saliva_enriched	0.7550100000000001	0.768749	0.7417520000000001
PGPC-05	4.buccal_enriched	0.761877	0.785127	0.7399640000000001
PGPC-06	1.saliva	0.766721	0.7583479999999999	0.77528
PGPC-06	2.buccal	0.775848	0.771299	0.78045
PGPC-06	3.saliva_enriched	0.779584	0.78013	0.779038
PGPC-06	4.buccal_enriched	0.786319	0.794683	0.7781279999999999
PGPC-50	1.saliva	0.748528	0.739799	0.757466
PGPC-50	2.buccal	0.772933	0.775525	0.770358
PGPC-50	3.saliva_enriched	0.765359	0.770227	0.760551
PGPC-50	4.buccal_enriched	0.787242	0.808851	0.766757
