sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.834549	0.832867	0.8362370000000001
PGPC-02	2.buccal	0.8214030000000001	0.819284	0.8235319999999999
PGPC-02	3.saliva_enriched	0.835147	0.8340420000000001	0.836255
PGPC-02	4.buccal_enriched	0.830723	0.830141	0.831306
PGPC-05	1.saliva	0.833727	0.830259	0.837224
PGPC-05	2.buccal	0.8390719999999999	0.841059	0.837093
PGPC-05	3.saliva_enriched	0.839239	0.8405450000000001	0.837938
PGPC-05	4.buccal_enriched	0.8371620000000001	0.841406	0.8329610000000001
PGPC-06	1.saliva	0.837691	0.8370790000000001	0.838305
PGPC-06	2.buccal	0.833484	0.833414	0.8335540000000001
PGPC-06	3.saliva_enriched	0.84129	0.8403209999999999	0.842261
PGPC-06	4.buccal_enriched	0.837557	0.841786	0.8333709999999999
PGPC-50	1.saliva	0.8293290000000001	0.826665	0.832009
PGPC-50	2.buccal	0.834218	0.830285	0.838189
PGPC-50	3.saliva_enriched	0.8341930000000001	0.8347469999999999	0.833641
PGPC-50	4.buccal_enriched	0.8402440000000001	0.8418260000000001	0.8386680000000001
