sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.8337030000000001	0.832166	0.8352459999999999
PGPC-02	2.buccal	0.8211360000000001	0.818854	0.8234309999999999
PGPC-02	3.saliva_enriched	0.833435	0.831421	0.835458
PGPC-02	4.buccal_enriched	0.8297370000000001	0.828738	0.8307379999999999
PGPC-05	1.saliva	0.833067	0.8294360000000001	0.836731
PGPC-05	2.buccal	0.838454	0.8405229999999999	0.8363950000000001
PGPC-05	3.saliva_enriched	0.838626	0.839933	0.8373229999999999
PGPC-05	4.buccal_enriched	0.835908	0.8395520000000001	0.8322959999999999
PGPC-06	1.saliva	0.837528	0.8367680000000001	0.83829
PGPC-06	2.buccal	0.832865	0.8326979999999999	0.833032
PGPC-06	3.saliva_enriched	0.8405870000000001	0.8395020000000001	0.841674
PGPC-06	4.buccal_enriched	0.835907	0.8388770000000001	0.832959
PGPC-50	1.saliva	0.828923	0.826026	0.831839
PGPC-50	2.buccal	0.8336709999999999	0.829564	0.8378180000000001
PGPC-50	3.saliva_enriched	0.832433	0.831749	0.833118
PGPC-50	4.buccal_enriched	0.8375879999999999	0.837807	0.837369
