sample	source	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
PGPC-02	1.saliva	0.8345459999999999	0.833225	0.835872
PGPC-02	2.buccal	0.821633	0.8198559999999999	0.823417
PGPC-02	3.saliva_enriched	0.8351700000000001	0.8342440000000001	0.836098
PGPC-02	4.buccal_enriched	0.830857	0.830448	0.8312649999999999
PGPC-05	1.saliva	0.832866	0.8299559999999999	0.8357950000000001
PGPC-05	2.buccal	0.8391770000000001	0.841283	0.837082
PGPC-05	3.saliva_enriched	0.839283	0.8408760000000001	0.8376950000000001
PGPC-05	4.buccal_enriched	0.837304	0.841778	0.8328770000000001
PGPC-06	1.saliva	0.837715	0.8371559999999999	0.838275
PGPC-06	2.buccal	0.833312	0.8335229999999999	0.833101
PGPC-06	3.saliva_enriched	0.841068	0.8402959999999999	0.841842
PGPC-06	4.buccal_enriched	0.837635	0.841774	0.833536
PGPC-50	1.saliva	0.8284469999999999	0.826156	0.830751
PGPC-50	2.buccal	0.834031	0.830216	0.837882
PGPC-50	3.saliva_enriched	0.834142	0.8348129999999999	0.8334719999999999
PGPC-50	4.buccal_enriched	0.8402129999999999	0.8420280000000001	0.838406
